product_id,product_name,product_category,product_description,directions,price,in_stock
P001,Red Glossy Lipstik,Face,Load your lips with long lasting and impeccable red colour to fulfill your makeup requirements.,"HOW TO USE:

1. Exfoliate your lips.
2. Line your lips with the CCUK Lip definer, then fill them in.
3. Blot your lips for an extra-matte finish.
*Please note that actual colours may vary slightly.","2,500.00",150
P002,Red Glossy Lipstik,Lipstick,Load your lips with long lasting and impeccable red colour to fulfill your makeup requirements.,"HOW TO USE:

1. Exfoliate your lips.
2. Line your lips with the CCUK Lip definer, then fill them in.
3. Blot your lips for an extra-matte finish.
*Please note that actual colours may vary slightly.","2,500.00",150
P003,Red Glossy Lipstik,Lips,Load your lips with long lasting and impeccable red colour to fulfill your makeup requirements.,"HOW TO USE:

1. Exfoliate your lips.
2. Line your lips with the CCUK Lip definer, then fill them in.
3. Blot your lips for an extra-matte finish.
*Please note that actual colours may vary slightly.","2,500.00",150
P004,Wine Lip Liner,Face,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1200,75
P005,Wine Lip Liner,Lip Liner,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1200,75
P006,Wine Lip Liner,Lips,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1200,75
P004,Damson Lip Liner,Face,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1400,150
P005,Damson Lip Liner,Lip Liner,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1400,150
P006,Damson Lip Liner,Lips,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1400,150
P0010,Glow - Day Creame,Moisturiser,Keeps your skin from being damaged while you go through your everyday tasks,"HOW TO USE:

Cleanse area to apply and apply cream",3250,225
